id,display_name,original_title,doi,score_thefuzz
ART-0000000007-13,La enseñanza en economía: una reflexión desde la perspectiva del contenido,La enseñanza en economía: una reflexión desde la perspectiva del contenido,,100
ART-0000000007-34,Incidencia del crecimiento económico en las emisiones de CO² : un análisis comparativo (1980-2008),Incidencia del crecimiento económico en las emisiones de CO2Ñ Un análisis comparativo (1980-2008),https://doi.org/10.29097/2011-639x.163,96
ART-0000000007-50,La enseñanza de la economía: reflexiones acerca del sentido de una ciencia social en construcción. el caso colombiano,La enseñanza de la Economía: reflexiones acerca del sentido de una ciencia social en construcción. El caso colombiano,,100
ART-0000000007-53,La enseñanza de la economía: reflexiones acerca del sentido de una ciencia social en construcción. el caso colombiano,La enseñanza de la economía: Reflexiones acerca del sentido de una ciencia social en construcción.,,95
ART-0000000022-14,Susceptibilidad de Aedes aegypti (Diptera: Culicidae) a temefos en Atlántico-Colombia,Susceptibilidad de Aedes aegypti (Diptera: Culicidae) a temefos en Atlántico-Colombia,https://doi.org/10.25100/socolen.v35i2.9220,100
ART-0000000040-2,"Instrumentos de política para la gestión de servicios ecosistémicos en agroecosistemas cebolleros de la cuenca del río Otún, Colombia",Instrumentos de política para la gestión de servicios ecosistémios en agroecosistemas cebolleros de la cuenca del río otùn. Colombia,,100
ART-0000000046-1,Energía y desarrollo económico,Energía y Desarrollo Económico,,100
ART-0000000046-12,La regulación de telefonía local en Colombia: un caso aplicado del esquema principal agente,La Regulación de Telefonía Local en Colombia: un caso aplicado del esquema Principal-Agente,,100
ART-0000000046-13,La economía experimental como aprendizaje significativo en el aula,La economía experimental como aprendizaje significativo en el aula,,100
ART-0000000046-3,Competitividad: Una condición y orbásica para el crecimiento,Competitividad: una condición básica para el crecimiento,,96
ART-0000000051-20,Aportes Del “Nonágono semiótico” Para la comprensión de laa identidad visual y su potencia social,"Aportes del ""nonágono semiótico"" para la comprensión de la identidad visual y su potencia social",https://doi.org/10.25100/nc.v0i19.676,99
ART-0000000051-39,"La imagen visual de la identidad, entre resistencias y representaciones hegemónicas","La imagen visual de la identidad, entre resistencias y representaciones hegemónicas",https://doi.org/10.18682/cdc.vi79.3676,100
ART-0000000077-40,Bioformulado de Beauveria bassiana (ATCC MYA-4886) y Trichoderma lignorum (ATCC-8751) como biocontrolador de Atta cephalotes,Bioformulado de Beauveria bassiana (ATCC MYA-4886) y Trichoderma lignorum (ATCC-8751) como biocontrolador de Atta cephalotes,https://doi.org/10.18041/1900-3803/entramado.1.5417,100
ART-0000000077-57,Procedimiento guía para manejo seguro de sustancias químicas en una empresa de fabricación de suelas y plantillas a base de poliuretano de la ciudad de Cali - Colombia,PROCEDIMIENTO GUÍA PARA MANEJO SEGURO DE SUSTANCIAS QUÍMICAS EN UNA EMPRESA DE FABRICACIÓN DE SUELAS Y PLANTILLAS A BASE DE POLIURETANO DE LA CIUDAD DE CALI - COLOMBIA,https://doi.org/10.22490/21456453.3461,100
ART-0000000077-6,"Riesgos biológico y químico en planta de compostaje de ingenio azucarero, Valle del Cauca, Colombia","Riesgos biológico y químico en planta de compostaje de ingenio azucarero, Valle del Cauca, Colombia",https://doi.org/10.22490/21456453.1557,100
ART-0000000112-12,Balance de la Cooperación Internacional al desarrollo que ofrece y recibe Colombia: metas y logros en el cuatrienio 2010-2014.,Balance de la Cooperación Internacional al desarrollo que ofrece y recibe Colombia: metas y logros en el cuatrienio 2010-2014,https://doi.org/10.21500/23825014.2234,100
ART-0000000115-12,"Simulación de la cesárea perimortem, más allá del «saber qué»","Simulación de la cesárea perimortem , más allá del « saber qué »",https://doi.org/10.1016/j.edumed.2018.09.002,97
ART-0000000125-12,Remesas y organizaciones locales,Remesas y organizaciones locales,https://doi.org/10.31908/grafias.v0i21.1442,100
ART-0000000125-40,Aproximaciones Teóricas a la Relación entre Responsabilidad Social Empresarial y Competitividad. Trayectos Iniciales.,Aproximaciones teóricas a la relación entre Responsabilidad Social Empresarial y Competitividad. Trayectos Iniciales,,100
ART-0000000125-41,Gestión estratégica de la cultura organizacional: ¿ventaja competitiva sostenible en el tiempo?,Gestión estratégica de la cultura organizacional:¿ventaja competitiva sostenible en el tiempo?,,100
ART-0000000125-5,De la Responsabilidad Social Empresarial a la Responsabilidad Organizacional Ambiental: aproximaciones a una ambientalización del pensamiento administrativo-organizacional,De la Responsabilidad Social Empresarial a la Responsabilidad Organizacional Ambiental: aproximaciones a una ambientalización del pensamiento administrativo-organizacional,,100
ART-0000000166-25,Horswill Algorithm Application to Avoid Obstacles,Horswill Algorithm Application to Avoid Obstacles,https://doi.org/10.1007/978-3-030-53021-1_12,100
ART-0000000166-6,Rendezvous Consensus Algorithm Applied to the Location of Possible Victims in Disaster Zones,Rendezvous Consensus Algorithm Applied to the Location of Possible Victims in Disaster Zones,https://doi.org/10.1007/978-3-319-91262-2_61,100
ART-0000000172-5,EMPLEO DE GRÁFICAS EN EL ESTUDIO DEL CONCEPTO DE ELASTICIDAD EN EL SISTEMA ÓSEO: EXPERIENCIA EN UN CURSO DE MECÁNICA EN LA CARRERA DE MEDICINA,EMPLEO DE GRÁFICAS EN EL ESTUDIO DEL CONCEPTO DE ELASTICIDAD EN EL SISTEMA ÓSEO: EXPERIENCIA EN UN CURSO DE MECÁNICA EN LA CARRERA DE MEDICINA,https://doi.org/10.14483/23448350.1250,100
ART-0000000204-8,Construcción de una herramienta para certificar la discapacidad en Colombia,Construcción de una herramienta para certificar la discapacidad en Colombia,,100
ART-0000000213-56,Effect on thermal oxidation in TiO2 nanostructures on nanohardness and corrosion resistance,Effect on thermal oxidation in TiO2 nanostructures on nanohardness and corrosion resistance,https://doi.org/10.4067/s0718-33052020000300362,100
ART-0000000248-106,"RIQUEZA Y DISTRIBUCIÓN DE MUSGOS EN EL DEPARTAMENTO DEL CAUCA, COLOMBIA*","Riqueza y distribución de musgos en el departamento del Cauca, Colombia.",,100
ART-0000000248-79,Antioxidant activity and free radical-scavenging capacity of a selection of wild-growing Colombian plants,Antioxidant activity and free radical scavenging capacity of a selection of wild-growing Colombian plants,https://doi.org/10.1002/jsfa.4476,100
ART-0000000304-2,SHALE PLAYS: PRONÓSTICOS DE PRODUCCIÓN A PARTIR DE SIMULACIÓN NUMÉRICA PREDICTIVA,SHALE PLAYS: PRONÓSTICOS DE PRODUCCIÓN A PARTIR DE SIMULACIÓN NUMÉRICA PREDICTIVA.,,100
ART-0000000362-16,APLICACIÓN DEL APRENDIZAJE BASADO EN PROBLEMAS EN INGENIERÍA,APLICACIÓN DEL APRENDIZAJE BASADO EN PROBLEMAS EN INGENIERÍA,,100
ART-0000000362-17,Diagnóstico de la cultura emprendedora en la Escuela de Ingeniería de Antioquia,DIAGNÓSTICO DE LA CULTURA EMPRENDEDORA EN LA ESCUELA DE INGENIERÍA DE ANTIOQUIA,,100
ART-0000000385-2,Biomodelos animales y enfermedades infecciosas de importancia en salud pública veterinaria,Biomodelos animales y enfermedades infecciosas de importancia en salud pública veterinaria,,100
ART-0000000396-39,Active Learning: Faculty Mind-sets and the Need for Faculty Development,Active Learning: Faculty Mind-sets and the Need for Faculty Development,https://doi.org/10.18260/1-2--32031,100
ART-0000000396-41,Ambientes de Aprendizaje en contexto: estudio de caso en cursos universitarios de Matemáticas previas al Cálculo,Ambientes de Aprendizaje en contexto: estudio de caso en cursos universitarios de Matemáticas previas al Cálculo,https://doi.org/10.25100/praxiseducacion.v0i5.10779,100
ART-0000000420-11,"Aplicaciones de un modelo integral para el estudio de la malaria urbana en San Andrés de Tumaco, Colombia","Aplicaciones de un modelo integral para el estudio de la malaria urbana en San Andrés de Tumaco, Colombia",,100
ART-0000000420-5,Aplicación de base tecnológica como apoyo al proceso de enseñanza - aprendizaje de embriología,Aplicación de base tecnológica como apoyo al proceso de enseñanza ¿ aprendizaje de embriología,,100
ART-0000000431-9,Multitemporal Land Cover Change Analysis in the Upper Cauca Basin in Colombia,Multitemporal Land Cover Change Analysis in the Upper Cauca Basin in Colombia,https://doi.org/10.1007/978-3-319-70187-5_16,100
ART-0000000468-12,SEMISÍNTESIS DE ÉSTERES Y AMIDAS A PARTIR DE UN ALCALOIDE OBTENIDO DESDE AJÍ (Capsicum annuum),SEMISÍNTESIS DE ÉSTERES Y AMIDAS A PARTIR DE UN ALCALOIDE OBTENIDO DESDE AJÍ (Capsicum annuum),,100
ART-0000000468-13,Ácidos Orgánicos Constitutivos de las Resinas Glicosídicas de Tres Especies de Ipomoea (Convolvulaceae),Ácidos Orgánicos Constitutivos de las Resinas Glicosídicas de Tres Especies de Ipomoea (Convolvulaceae),https://doi.org/10.18273/revion.v31n1-2018009,100
ART-0000000536-156,Bone age detection via carpogram analysis using convolutional neural networks,Bone age detection via carpogram analysis using convolutional neural networks,https://doi.org/10.1117/12.2285949,100
ART-0000000536-165,An empirical study on global bone age assessment,An empirical study on global bone age assessment,https://doi.org/10.1117/12.2542431,100
ART-0000000555-12,Digital image processing techniques applied to pressure analysis and morphological features extraction in footprints.,Digital image processing techniques applied to pressure analysis and morphological features extraction in footprints.,https://doi.org/10.1088/1742-6596/705/1/012020,100
ART-0000000607-6,&lt;strong&gt;Two new earthworm species (Oligochaeta: Annelida) of the Caribbean region of Colombia&lt;/strong&gt;,Two new earthworm species (Oligochaeta: Annelida) of the Caribbean region of Colombia,https://doi.org/10.11646/zootaxa.3974.1.7,95
ART-0000000607-7,DOS ESPECIES NUEVAS (OLIGOCHAETA: TUMAKIDAE) DE LA REGIÓN CARIBE DE COLOMBIA,DOS ESPECIES NUEVAS (OLIGOCHAETA: TUMAKIDAE) DE LA REGIÓN CARIBE DE COLOMBIA,https://doi.org/10.1590/0031-1049.2015.55.30,100
